type,probability,text,group,mimic,theme
TV,0.75,Wow! This is brand new TV! And they added remote control to it.,0,0,
TV,0.75,"Tightly screwed. Apparently, protection against thieves.",1,0,
TV,0.75,"It's new edition, now with TrueColor. Bye-bye, black'n'white age.",2,0,
TV,0.75,Here is highly humid. I notice drops on the screen,3,0,humid
TV,0.75,"The screen is dusty, but it has not been wiped.",4,0,dusty
TV,0.75,Never heard of this model. M1-M1-Kremlin.,5,1,
TV,1,"I don't know if this possible, but this TV flows. Maybe broken?",6,1,humid
TV,1,This dust lies even at sides of TV.,7,1,dusty
Photo,0.75,I think this photo was taken near Yakutia.,0,0,
Photo,0.75,Such a nice composition.,1,0,
Photo,0.75,"This photo was taken years ago with ""Smena-88M"". Nice camera.",2,0,
Photo,0.75,"Hey! I knew this place. There was a nice meat bar before. ""Burlinka"", I think.",3,0,
Photo,0.75,Photo twisted. Like it was plunged into the water and dried.,4,0,humid
Photo,0.75,Covered in dust. Seems no one has payed attention to it.,5,0,dusty
Photo,0.75,This photo creeping me out. the composition completely wrong,6,1,
Photo,0.75,Photo looks like new though in 40 years old. Maybe retouched?,7,1,
Photo,1,It is so wet than I am sure it can squeezed like a rag.,8,1,humid
Photo,1,This dust looks more like spores. I hope I won't inhale it.,9,1,dusty
Diploma,0.75,Diploma of Doctor of Science sausage production.,0,0,
Diploma,0.75,Diploma of Engineer of Economy of the third degree.,0,0,
Diploma,0.75,Diploma of Bachelor of Astrology.,0,0,
Diploma,0.75,"Strange, but Helper shows its price. Apparently, education costs money.",1,0,
Diploma,0.75,Wet and in drops. Like everything there.,2,0,humid
Diploma,0.75,Heh. My diploma too covered in dust. Never used it.,3,0,dusty
Diploma,0.75,It's signed by King Burger. What kind of diploma is it?,4,1,
Diploma,1,Ink is clear and readable thougn diploma is fully wet.,5,1,humid
Diploma,1,Document looks like paper version of Frankenstein's Monster.,6,1,dusty
Poster,0.75,"Cheap poster, nothign to look on.",0,0,
Poster,0.75,"Post soviet rock poster. Rock hard, work hard.",0,0,
Poster,0.75,"""Live single or die coop."" ... wat? What does that mean?",0,0,
Poster,0.75,This poster seen better times.,1,0,
