type,probability,text,group,mimic,theme
TV,0.75,Ого! Это новый телевизор! И к нему даже приложен пульт ДУ.,0,0,
TV,0.75,Крепко прикручен. Похоже на защиту от воров. Хрен открутишь.,1,0,
TV,0.75,"Новая модель, теперь с цветным экраном. Прощай, черно-белый век.",2,0,
TV,0.75,Там довольно влажно. Я вижу капли на телевизоре.,3,0,humid
TV,0.75,"Телевизор до жути пыльный, но по какой-то причине он не протерт.",4,0,dusty
TV,0.75,Не слышал о такой модели. Ми-Ми-Кремль.,5,1,
TV,1,"Не знаю как такое возможно, но телевизор протекает. С него льют струйки воды.",6,1,humid
TV,1,Телевизор полностью покрыт пылью. Даже бока.,7,1,dusty
Photo,0.75,"Я думаю, эту фотографию делали в Якутской области.",0,0,
Photo,0.75,Такая милая композиция.,1,0,
Photo,0.75,"Эта фотография была сделана фотоаппаратом ""Смена-88"" много лет назад. Это был хороший прибор.",2,0,
Photo,0.75,"Эй! Я знаю где это! Там был раньше классный гриль-бар. ""Бурлинка"", кажется.",3,0,
Photo,0.75,Фото испорчено. Как будто бы его окунули в воду и потом дали высохнуть.,4,0,humid
Photo,0.75,Покрыто пылью. Похоже никто за ним не следил.,5,0,dusty
Photo,0.75,Это фото меня бесит. Композиция полностью неверна.,6,1,
Photo,0.75,"Фотография выглядит как новая, хотя сделана лет 40 назад. Может быть отретуширована?",7,1,
Photo,1,"Эта фотография настолько мокрая, что мне кажется будто бы её можно выжать словно тряпку.",8,1,humid
Photo,1,"Если подумать, то эта пыль выглядит как споры на грибах. Не хотел бы я её вдохнуть.",9,1,dusty
Diploma,0.75,Диплом доктора наук сосисочного производства.,0,0,
Diploma,0.75,Диплом инженера экономики третьей степени.,0,0,
Diploma,0.75,Диплом бакалавра астрологии.,0,0,
Diploma,0.75,"Странно, но Помощник указывает цену диплома. Похоже, образование стоит денег.",1,0,
Diploma,0.75,Влажный и в каплях. Как и все там.,2,0,humid
Diploma,0.75,Хех. Мой диплом тоже в пыли. Никогда его не использовал.,3,0,dusty
Diploma,0.75,Подписано королем Бургером. Что за странный диплом.,4,1,
Diploma,1,"Весь документ влажный как губка, а чернила даже не потекли.",5,1,humid
Diploma,1,Этот документ выглядит как бумажна версия Монстра Франкенштейна.,6,1,dusty
Poster,0.75,"Дешевый постер, ничего интересного.",0,0,
Poster,0.75,"Пост советский рок постер. Rock hard, work hard.",0,0,
Poster,0.75,"""Live single or die coop."" ... Что? Что это вообще значит?",0,0,
Poster,0.75,Этот постер видал лучшие времена,1,0,
Poster,0.75,"О, этот классный. ""Ирония судьбы 7"". Классика никогда не стареет.",2,0,
Poster,0.75,Кусок влажной бумаги на стене с каким-то напечатанным рисунком на нем.,3,0,humid
Poster,0.75,Помощник говорит цена такого постера 200 долларов.,4,1,
Poster,1,"Цветная раскрашенная тряпка. Помощник говорит, что это постер. Но я вижу тряпку.",5,1,humid
Poster,1,Постер выглядит как грязная тряпка. Кто и зачем повесил её на стену?,6,1,dusty
Locker,0.75,"Большой крепкий шкаф. Готов поспорить, там есть секретные ящики.",0,0,
Locker,0.75,"Фигня, фигня, фигня. Ничего подозрительного, вроде.",1,0,
Locker,0.75,"Говорят, что некоторые скелеты предпочитают шкафы побольше.",2,0,
Locker,0.75,Доски шкафа расширилсь из-за влажности.,3,0,humid
Locker,0.75,Похоже тут никого не было довольно давно. Все полки в пыли.,4,0,dusty
Locker,0.75,Между полок завелся грибок. Там слишком влажно.,5,1,
Locker,1,"Больше похоже на водяную цистерну, чем на шкаф. Может быть внутри разлилась вода?",6,1,humid
Locker,1,Похоже в материале шкафа завелись жуки. Только там можно объяснить всю эту пыль вокруг.,7,1,dusty
Carpet,0.75,Я помню старую традицию вешать ковры на стену.,0,0,
Carpet,0.75,"О, этот ковер редко встретишь. Турецкий. Дорогой.",1,0,
Carpet,0.75,"Выглядит, как будто бы весь покрым мохом. Или просто старый.",2,0,
Carpet,0.75,Пылесос сломан? Почему ковер такой грязный,4,0,dusty
Carpet,0.75,Ковер выглядит как-то... неправильно. На нем какие-то непонятные шишки.,5,1,
Carpet,1,"Странно, но во всем помещении ковер абсолютно сухой.",6,1,humid
Carpet,1,Пыль на ковре собралась в небольшие шишки.,7,1,dusty
Chair,0.75,Греческая серия. Крепкая и надежная.,0,0,
Chair,0.75,"""Олимпийская"" серия была создана"""" в сотрудничесестве между Греций и нашей страной.",1,0,
Chair,0.75,"Самые обычные стулья, есть у всех. Надо быть внимательней.",2,0,
Chair,0.75,Я вижу разбрызганные капли на поверхности стула.,3,0,humid
