type,name,price
TV,"ЖКТ ""Горизонт""",222
TV,"ЖКТ ""Закат""",249
TV,"ЖКТ ""Вечер""",343
TV,"ПТ ""Рекорд-А""",165
TV,"ПТ ""КВН-90""",190
TV,"ЖКТ ""Рубин""",420
Photo,Семейное фото,46
Photo,Фото в университете,68
Photo,Фото с друзьями,24
Photo,Фотография здания,24
Photo,Фотография животного,65
Diploma,Диплом,175
Poster,Постер,55
Locker,"Шкаф ""Белуха""",274
Locker,"Шкаф ""Ключевской""",258
Locker,"Шкаф""Алтын-Туу",280
Locker,"Шкаф ""Бабырган""",262
Locker,"Шкаф ""Горелый""",231
Carpet,"Ковер ""Байкал""",309
Carpet,"Ковер ""Телецкое""",318
Carpet,"Ковер ""Иссык-Куль""",329
Carpet,"Ковер ""Таймыр""",294
Carpet,"Ковер ""Шавлинское""",299
Chair,"Стул ""Прокруст""",167
Chair,"Стул ""Зевс""",163
Chair,"Стул ""Икар""",134
Chair,"Стул ""Герострат""",177
Chair,"Стул ""Полифем""",157
Table,"Стол ""Маша""",197
Table,"Стол ""Настя""",227
Table,"Стол ""Надя""",220
Table,"Стол ""Женя""",182
Table,"Стол ""Ольга""",213
Chandelier,"Люстра ""Юпитер""",139
Chandelier,"Люстра ""Марс""",152
Chandelier,"Люстра ""Плутон""",129
Chandelier,"Люстра ""Меркурий""",133
Chandelier,"Люстра ""Сатурн""",127
Bed,"Кровать ""Похоть""",242
Bed,"Кровать ""Чревоугодие""",270
Bed,"Кровать ""Лень""",238
Bed,"Кровать ""Зависть""",265
Bed,"Кровать ""Гордыня""",237
Sofa,"Диван ""Король""",146
Sofa,"Диван ""Королева""",138
Sofa,"Диван ""Принц""",173
Sofa,"Диван ""Принцесса""",134
Armchair,"Кресло ""Альфа""",128
Armchair,"Кресло ""Бета""",160
Armchair,"Кресло ""Гамма""",175
Armchair,"Кресло ""Дельта""",143
Clock,"Часы ""Pikabu""",54
Clock,"Часы ""Lolcats""",47
Clock,"Часы ""Imgur""",33
Book,"Книга ""Исскуство игрового дизайна""",64
Book,"Книга ""Игра в бисер""",58
Book,"Графический роман ""Сага о Метабароне""",46
Book,"Графический роман ""Хранители""",50
Book,"Сборник ""Меч Истины""",49
Book,"Книга ""Еще один великолепный МИФ""",67
Book,"Книгами ""Оригами""",65
Note1,Записка,5
Note2,Записка,5
Note3,Записка,5
Note4,Записка,5
Note5,Записка,5
Note6,Записка,5
Note7,Записка,5
Note8,Записка,5
